,Hours,NO1,NO2,NO3,NO4,NO5,NO,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds_all
1/1/20,00 - 01,4363,4304,3130,2357,1998,16151,Stavanger,58.969976,5.733107,5.94,2.09,4.44,7.22,1026,87,3.6,210,90
1/1/20,01 - 02,4333,4139,3016,2348,1950,15787,Stavanger,58.969976,5.733107,5.93,2.43,4.44,7.22,1025,87,3.1,180,90
1/1/20,02 - 03,4250,4114,2945,2298,1926,15532,Stavanger,58.969976,5.733107,6.04,2.91,4.44,7.22,1025,87,2.6,190,90
1/1/20,03 - 04,4167,4030,3032,2284,1913,15427,Stavanger,58.969976,5.733107,6.28,1.96,5,7.22,1024,81,4.1,210,75
1/1/20,04 - 05,4145,4032,2988,2262,1894,15321,Stavanger,58.969976,5.733107,6.29,2.32,5,7.22,1024,81,3.6,190,75
1/1/20,05 - 06,4222,4032,2848,2245,1901,15248,Stavanger,58.969976,5.733107,6.29,2.67,5,7.22,1023,81,3.1,200,75
1/1/20,06 - 07,4407,4124,2781,2216,1926,15454,Stavanger,58.969976,5.733107,6.31,0.87,5,7.22,1023,81,5.7,230,75
1/1/20,07 - 08,4542,4228,2907,2258,1946,15880,Stavanger,58.969976,5.733107,6.3,2.52,5,7.22,1023,87,3.6,200,75
1/1/20,08 - 09,4643,4306,2975,2276,2040,16241,Stavanger,58.969976,5.733107,6.14,2.51,5,7.22,1023,93,3.6,180,75
1/1/20,09 - 10,4746,4380,3037,2302,2007,16472,Stavanger,58.969976,5.733107,6.33,1.85,5,7.22,1023,87,4.6,200,75
1/1/20,10 - 11,4902,4474,3025,2351,2040,16792,Stavanger,58.969976,5.733107,6.42,1.96,5,7.22,1022,87,4.6,190,75
1/1/20,11 - 12,5064,4669,3012,2365,2082,17192,Stavanger,58.969976,5.733107,6.26,1.77,5,7.22,1021,87,4.6,190,75
1/1/20,12 - 13,5108,4691,3105,2287,2105,17296,Stavanger,58.969976,5.733107,6.04,1.34,5,7.02,1021,93,5.1,180,75
1/1/20,13 - 14,5124,4688,3101,2342,2112,17367,Stavanger,58.969976,5.733107,6.11,2,5,7.02,1021,100,4.6,190,90
1/1/20,14 - 15,5196,4703,3148,2401,2133,17582,Stavanger,58.969976,5.733107,6.11,2,5,7.02,1021,100,4.6,190,90
1/1/20,15 - 16,5296,4758,3281,2445,2184,17963,Stavanger,58.969976,5.733107,6.11,2,5,7.02,1021,100,4.6,190,90
1/1/20,16 - 17,5426,4810,3230,2410,2211,18086,Stavanger,58.969976,5.733107,6.46,1.43,5.56,7,1020,93,5.7,190,75
1/1/20,17 - 18,5423,4790,3113,2371,2212,17908,Stavanger,58.969976,5.733107,6.11,2,5,7.22,1020,100,4.6,180,75
1/1/20,18 - 19,5371,4691,3085,2344,2154,17645,Stavanger,58.969976,5.733107,6.11,2,5,7.22,1020,100,4.6,180,75
1/1/20,19 - 20,5289,4643,3093,2361,2159,17545,Stavanger,58.969976,5.733107,6.11,1.65,5,7.22,1019,100,5.1,190,75
1/1/20,20 - 21,5142,4599,3032,2315,2130,17217,Stavanger,58.969976,5.733107,6.11,2,5,7.22,1019,100,4.6,190,75
1/1/20,21 - 22,4996,4504,2951,2283,2094,16828,Stavanger,58.969976,5.733107,6.22,2.13,5,8,1018,100,4.6,190,75
1/1/20,22 - 23,4820,4376,2951,2225,2048,16420,Stavanger,58.969976,5.733107,6.21,1.9,5,8,1018,93,4.6,190,75
1/1/20,23 - 00,4593,4235,2878,2192,1981,15878,Stavanger,58.969976,5.733107,6.1,1.42,5,7.22,1017,93,5.1,180,75
2/1/20,00 - 01,4401,3997,2846,2192,1907,15343,Stavanger,58.969976,5.733107,6.28,1.63,5,7.22,1016,93,5.1,180,75
2/1/20,01 - 02,4236,4035,2854,2159,1882,15166,Stavanger,58.969976,5.733107,6.25,0.64,5,7.22,1016,87,6.2,200,75
2/1/20,02 - 03,4182,4052,2907,2137,1875,15152,Stavanger,58.969976,5.733107,6.09,1.75,5,7.22,1015,93,4.6,190,75
2/1/20,03 - 04,4167,4000,2960,2133,1876,15136,Stavanger,58.969976,5.733107,6.07,0.61,5,7.22,1015,93,6.2,190,75
2/1/20,04 - 05,4187,4019,2898,2169,1865,15137,Stavanger,58.969976,5.733107,6.32,1.07,5,7.22,1014,87,5.7,170,75
2/1/20,05 - 06,4314,4210,2904,2245,1906,15580,Stavanger,58.969976,5.733107,6.66,0.08,5.56,7.22,1013,87,7.7,180,75
2/1/20,06 - 07,4813,4434,3069,2343,1995,16654,Stavanger,58.969976,5.733107,6.65,0.06,5.56,7.22,1012,87,7.7,170,75
2/1/20,07 - 08,5300,4720,3284,2381,2110,17795,Stavanger,58.969976,5.733107,6.65,-0.29,5.56,7.22,1011,87,8.2,170,75
2/1/20,08 - 09,5502,4856,3323,2425,2174,18280,Stavanger,58.969976,5.733107,6.49,-0.48,5.56,7.22,1011,87,8.2,170,75
