,Hours,NO1,NO2,NO3,NO4,NO5,NO
1/1/20,00 - 01,4363,4304,3130,2357,1998,16151
1/1/20,01 - 02,4333,4139,3016,2348,1950,15787
1/1/20,02 - 03,4250,4114,2945,2298,1926,15532
1/1/20,03 - 04,4167,4030,3032,2284,1913,15427
1/1/20,04 - 05,4145,4032,2988,2262,1894,15321
1/1/20,05 - 06,4222,4032,2848,2245,1901,15248
1/1/20,06 - 07,4407,4124,2781,2216,1926,15454
1/1/20,07 - 08,4542,4228,2907,2258,1946,15880
1/1/20,08 - 09,4643,4306,2975,2276,2040,16241
1/1/20,09 - 10,4746,4380,3037,2302,2007,16472
1/1/20,10 - 11,4902,4474,3025,2351,2040,16792
1/1/20,11 - 12,5064,4669,3012,2365,2082,17192
1/1/20,12 - 13,5108,4691,3105,2287,2105,17296
1/1/20,13 - 14,5124,4688,3101,2342,2112,17367
1/1/20,14 - 15,5196,4703,3148,2401,2133,17582
1/1/20,15 - 16,5296,4758,3281,2445,2184,17963
1/1/20,16 - 17,5426,4810,3230,2410,2211,18086
1/1/20,17 - 18,5423,4790,3113,2371,2212,17908
1/1/20,18 - 19,5371,4691,3085,2344,2154,17645
1/1/20,19 - 20,5289,4643,3093,2361,2159,17545
1/1/20,20 - 21,5142,4599,3032,2315,2130,17217
1/1/20,21 - 22,4996,4504,2951,2283,2094,16828
1/1/20,22 - 23,4820,4376,2951,2225,2048,16420
1/1/20,23 - 00,4593,4235,2878,2192,1981,15878
2/1/20,00 - 01,4401,3997,2846,2192,1907,15343
2/1/20,01 - 02,4236,4035,2854,2159,1882,15166
2/1/20,02 - 03,4182,4052,2907,2137,1875,15152
2/1/20,03 - 04,4167,4000,2960,2133,1876,15136
2/1/20,04 - 05,4187,4019,2898,2169,1865,15137
2/1/20,05 - 06,4314,4210,2904,2245,1906,15580
2/1/20,06 - 07,4813,4434,3069,2343,1995,16654
2/1/20,07 - 08,5300,4720,3284,2381,2110,17795
2/1/20,08 - 09,5502,4856,3323,2425,2174,18280
2/1/20,09 - 10,5547,4889,3334,2386,2155,18311
2/1/20,10 - 11,5549,4894,3355,2416,2172,18386
2/1/20,11 - 12,5487,4866,3273,2426,2180,18232
2/1/20,12 - 13,5433,4832,3388,2395,2139,18188
2/1/20,13 - 14,5388,4863,3405,2398,2182,18236
2/1/20,14 - 15,5420,4936,3331,2486,2201,18374
2/1/20,15 - 16,5543,4953,3255,2602,2215,18569
2/1/20,16 - 17,5670,5002,3350,2523,2273,18818
2/1/20,17 - 18,5593,4891,3281,2433,2220,18418
2/1/20,18 - 19,5467,4847,3338,2366,2204,18222
2/1/20,19 - 20,5325,4812,3258,2367,2173,17935
2/1/20,20 - 21,5213,4694,3145,2247,2119,17417
2/1/20,21 - 22,4968,4664,3148,2263,2068,17111
2/1/20,22 - 23,4699,4493,3063,2329,2031,16614
2/1/20,23 - 00,4425,4316,3074,2276,1965,16055
3/1/20,00 - 01,4181,4254,3012,2199,1919,15564
3/1/20,01 - 02,4022,4168,3032,2186,1871,15279
3/1/20,02 - 03,3922,4084,3063,2078,1841,14988
3/1/20,03 - 04,3887,4056,3014,2137,1823,14916
3/1/20,04 - 05,3903,4083,3113,2101,1823,15022
3/1/20,05 - 06,4038,4226,3250,2124,1948,15586
3/1/20,06 - 07,4412,4466,3327,2250,2029,16485
3/1/20,07 - 08,4935,4777,3546,2458,2171,17886
3/1/20,08 - 09,5189,4955,3760,2557,2257,18717
3/1/20,09 - 10,5252,4981,3706,2561,2279,18780
3/1/20,10 - 11,5321,5015,3755,2556,2315,18962
3/1/20,11 - 12,5334,4969,3800,2553,2270,18925
3/1/20,12 - 13,5312,4889,3860,2626,2284,18971
3/1/20,13 - 14,5283,4832,3888,2639,2276,18917
3/1/20,14 - 15,5366,4844,3903,2661,2306,19079
3/1/20,15 - 16,5527,4924,3891,2636,2314,19292
3/1/20,16 - 17,5657,5051,3827,2650,2356,19541
3/1/20,17 - 18,5683,5043,4027,2582,2346,19680
3/1/20,18 - 19,5644,4986,3953,2521,2323,19427
3/1/20,19 - 20,5604,4937,3866,2452,2312,19170
3/1/20,20 - 21,5361,4969,3802,2455,2282,18868
3/1/20,21 - 22,5262,4849,3731,2474,2240,18557
3/1/20,22 - 23,5037,4727,3549,2407,2177,17897
3/1/20,23 - 00,4844,4607,3470,2382,2127,17430
4/1/20,00 - 01,4691,4478,3443,2251,2101,16964
4/1/20,01 - 02,4534,4433,3426,2272,2067,16732
4/1/20,02 - 03,4460,4425,3381,2382,2030,16678
4/1/20,03 - 04,4390,4424,3363,2314,2010,16501
4/1/20,04 - 05,4399,4422,3434,2311,2016,16582
4/1/20,05 - 06,4437,4414,3406,2360,2030,16648
4/1/20,06 - 07,4570,4474,3411,2468,2025,16948
4/1/20,07 - 08,4764,4572,3552,2501,2077,17466
4/1/20,08 - 09,4993,4735,3651,2516,2147,18041
4/1/20,09 - 10,5246,4902,3760,2505,2219,18633
4/1/20,10 - 11,5384,5004,3780,2485,2274,18926
4/1/20,11 - 12,5399,4991,3759,2528,2295,18970
4/1/20,12 - 13,5306,4902,3763,2574,2281,18825
4/1/20,13 - 14,5243,4903,3734,2755,2270,18906
4/1/20,14 - 15,5239,4886,3697,2584,2257,18663
4/1/20,15 - 16,5400,4881,3842,2630,2278,19031
4/1/20,16 - 17,5685,5049,3773,2634,2317,19458
4/1/20,17 - 18,5760,5191,3818,2641,2368,19778
4/1/20,18 - 19,5725,5191,3775,2623,2343,19656
4/1/20,19 - 20,5602,5039,3746,2576,2366,19329
4/1/20,20 - 21,5407,4816,3700,2541,2283,18747
4/1/20,21 - 22,5273,4693,3440,2474,2227,18106
4/1/20,22 - 23,5185,4614,3498,2466,2189,17952
4/1/20,23 - 00,5036,4561,3527,2504,2180,17808
5/1/20,00 - 01,4837,4611,3419,2430,2131,17428
5/1/20,01 - 02,4663,4510,3356,2403,2089,17021
5/1/20,02 - 03,4599,4480,3265,2330,2048,16722
5/1/20,03 - 04,4627,4388,3164,2355,2007,16541
5/1/20,04 - 05,4620,4380,3256,2351,2039,16647
5/1/20,05 - 06,4621,4385,3183,2393,2045,16626
5/1/20,06 - 07,4653,4419,3137,2418,2076,16703
5/1/20,07 - 08,4749,4515,3240,2471,2094,17069
5/1/20,08 - 09,4980,4627,3264,2394,2171,17436
5/1/20,09 - 10,5187,4743,3454,2446,2220,18050
5/1/20,10 - 11,5507,4789,3579,2480,2265,18620
5/1/20,11 - 12,5628,4785,3644,2507,2291,18855
5/1/20,12 - 13,5666,4764,3641,2484,2264,18819
5/1/20,13 - 14,5618,4757,3608,2562,2262,18807
5/1/20,14 - 15,5577,4740,3558,2583,2257,18715
5/1/20,15 - 16,5619,4736,3629,2625,2245,18854
5/1/20,16 - 17,5691,4910,3718,2631,2263,19213
5/1/20,17 - 18,5597,4949,3692,2616,2231,19085
5/1/20,18 - 19,5498,4828,3575,2585,2217,18704
5/1/20,19 - 20,5448,4711,3440,2554,2187,18340
5/1/20,20 - 21,5372,4657,3356,2547,2143,18075
5/1/20,21 - 22,5281,4651,3443,2581,2145,18101
5/1/20,22 - 23,5072,4526,3295,2580,2076,17549
