dt,dt_iso,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds_all
1577840400,2020-01-01 01:00:00 +0000 UTC,Stavanger,58.969976,5.733107,5.94,2.09,4.44,7.22,1026,87,3.6,210,90
1577844000,2020-01-01 02:00:00 +0000 UTC,Stavanger,58.969976,5.733107,5.93,2.43,4.44,7.22,1025,87,3.1,180,90
1577847600,2020-01-01 03:00:00 +0000 UTC,Stavanger,58.969976,5.733107,6.04,2.91,4.44,7.22,1025,87,2.6,190,90
1577851200,2020-01-01 04:00:00 +0000 UTC,Stavanger,58.969976,5.733107,6.28,1.96,5,7.22,1024,81,4.1,210,75
1577854800,2020-01-01 05:00:00 +0000 UTC,Stavanger,58.969976,5.733107,6.29,2.32,5,7.22,1024,81,3.6,190,75
1577858400,2020-01-01 06:00:00 +0000 UTC,Stavanger,58.969976,5.733107,6.29,2.67,5,7.22,1023,81,3.1,200,75
1577862000,2020-01-01 07:00:00 +0000 UTC,Stavanger,58.969976,5.733107,6.31,0.87,5,7.22,1023,81,5.7,230,75
1577865600,2020-01-01 08:00:00 +0000 UTC,Stavanger,58.969976,5.733107,6.3,2.52,5,7.22,1023,87,3.6,200,75
1577869200,2020-01-01 09:00:00 +0000 UTC,Stavanger,58.969976,5.733107,6.14,2.51,5,7.22,1023,93,3.6,180,75
1577872800,2020-01-01 10:00:00 +0000 UTC,Stavanger,58.969976,5.733107,6.33,1.85,5,7.22,1023,87,4.6,200,75
1577876400,2020-01-01 11:00:00 +0000 UTC,Stavanger,58.969976,5.733107,6.42,1.96,5,7.22,1022,87,4.6,190,75
1577880000,2020-01-01 12:00:00 +0000 UTC,Stavanger,58.969976,5.733107,6.26,1.77,5,7.22,1021,87,4.6,190,75
1577883600,2020-01-01 13:00:00 +0000 UTC,Stavanger,58.969976,5.733107,6.04,1.34,5,7.02,1021,93,5.1,180,75
1577887200,2020-01-01 14:00:00 +0000 UTC,Stavanger,58.969976,5.733107,6.11,2,5,7.02,1021,100,4.6,190,90
1577887200,2020-01-01 14:00:00 +0000 UTC,Stavanger,58.969976,5.733107,6.11,2,5,7.02,1021,100,4.6,190,90
1577887200,2020-01-01 14:00:00 +0000 UTC,Stavanger,58.969976,5.733107,6.11,2,5,7.02,1021,100,4.6,190,90
1577890800,2020-01-01 15:00:00 +0000 UTC,Stavanger,58.969976,5.733107,6.46,1.43,5.56,7,1020,93,5.7,190,75
1577894400,2020-01-01 16:00:00 +0000 UTC,Stavanger,58.969976,5.733107,6.11,2,5,7.22,1020,100,4.6,180,75
1577894400,2020-01-01 16:00:00 +0000 UTC,Stavanger,58.969976,5.733107,6.11,2,5,7.22,1020,100,4.6,180,75
1577898000,2020-01-01 17:00:00 +0000 UTC,Stavanger,58.969976,5.733107,6.11,1.65,5,7.22,1019,100,5.1,190,75
1577901600,2020-01-01 18:00:00 +0000 UTC,Stavanger,58.969976,5.733107,6.11,2,5,7.22,1019,100,4.6,190,75
1577905200,2020-01-01 19:00:00 +0000 UTC,Stavanger,58.969976,5.733107,6.22,2.13,5,8,1018,100,4.6,190,75
1577908800,2020-01-01 20:00:00 +0000 UTC,Stavanger,58.969976,5.733107,6.21,1.9,5,8,1018,93,4.6,190,75
1577912400,2020-01-01 21:00:00 +0000 UTC,Stavanger,58.969976,5.733107,6.1,1.42,5,7.22,1017,93,5.1,180,75
1577916000,2020-01-01 22:00:00 +0000 UTC,Stavanger,58.969976,5.733107,6.28,1.63,5,7.22,1016,93,5.1,180,75
1577919600,2020-01-01 23:00:00 +0000 UTC,Stavanger,58.969976,5.733107,6.25,0.64,5,7.22,1016,87,6.2,200,75
1577923200,2020-01-02 00:00:00 +0000 UTC,Stavanger,58.969976,5.733107,6.09,1.75,5,7.22,1015,93,4.6,190,75
1577926800,2020-01-02 01:00:00 +0000 UTC,Stavanger,58.969976,5.733107,6.07,0.61,5,7.22,1015,93,6.2,190,75
